timestamp,open,high,low,close,volume
1742860800000,141.01,142.29,140.5,142.13,114246.829
1742864400000,142.12,142.12,139.64,140.2,133557.676
1742868000000,140.2,140.31,139.29,139.65,118669.079
1742871600000,139.66,140.09,138.2,138.57,151482.726
1742875200000,138.57,139.55,138.17,139.1,95009.507
1742878800000,139.09,139.95,138.74,139.59,65789.633
1742882400000,139.59,140.21,139.37,139.74,77872.003
1742886000000,139.75,140.35,139.23,139.46,61134.161
1742889600000,139.46,140.55,139.43,140.29,64809.45
1742893200000,140.28,143.43,139.88,142.85,162626.749
1742896800000,142.85,143.19,141.67,142.45,122201.806
1742900400000,142.45,142.92,141.44,142.15,112017.951
1742904000000,142.14,142.87,141.06,142.13,170839.053
1742907600000,142.13,146.7,142.04,144.59,547798.572
1742911200000,144.59,147.48,143.84,146.36,386600.678
1742914800000,146.35,146.56,144.4,145.28,232903.733
1742918400000,145.28,146.25,143.61,144.37,172279.696
1742922000000,144.38,145.68,144.38,144.96,128087.948
1742925600000,144.96,145.82,144.56,145.12,102905.054
1742929200000,145.13,145.86,144.58,145.03,82612.789
1742932800000,145.02,146.09,144.5,144.55,121037.485
1742936400000,144.55,145.27,143.58,143.69,96656.6
1742940000000,143.69,144.44,142.48,143.42,141377.452
1742943600000,143.41,144.11,143.29,143.64,67442.04
1742947200000,143.64,144.63,143.11,144.16,82070.048
1742950800000,144.17,144.48,143.69,144.09,81096.382
1742954400000,144.09,144.1,142.52,142.64,97875.528
1742958000000,142.64,143.07,141.5,141.84,108719.408
1742961600000,141.84,142.59,141.64,142.38,90109.653
1742965200000,142.37,143.42,141.88,142.94,65672.87
1742968800000,142.95,144.25,142.58,144.03,78418.702
1742972400000,144.03,144.89,143.62,144.5,140970.384
1742976000000,144.5,145.05,143.91,144.39,109378.511
1742979600000,144.39,144.92,143.77,144.34,80574.042
1742983200000,144.33,145.35,144.0,144.85,89583.377
1742986800000,144.85,145.49,144.42,144.61,72447.721
1742990400000,144.61,145.07,143.64,144.94,91386.259
1742994000000,144.94,144.94,141.22,141.25,285848.123
1742997600000,141.25,142.04,139.0,140.03,464994.443
1743001200000,140.04,140.46,139.04,139.34,190263.176
1743004800000,139.33,140.21,138.94,139.4,168346.176
1743008400000,139.39,139.56,137.87,137.94,144130.141
1743012000000,137.94,138.73,137.17,137.39,98765.602
1743015600000,137.38,138.28,136.23,137.45,180997.696
1743019200000,137.45,138.51,137.25,137.97,111839.277
1743022800000,137.97,138.14,136.26,137.43,95343.782
1743026400000,137.43,137.43,136.2,136.84,85140.571
1743030000000,136.85,137.41,135.89,137.34,85551.415
1743033600000,137.35,138.05,136.82,137.97,112626.437
1743037200000,137.96,138.57,137.77,138.45,87897.523
1743040800000,138.46,140.22,138.34,139.43,124361.077
1743044400000,139.43,139.98,138.73,139.91,101004.163
1743048000000,139.91,140.07,138.87,139.53,72436.142
1743051600000,139.52,139.55,138.39,138.58,76244.695
1743055200000,138.58,139.15,137.91,138.44,84575.993
1743058800000,138.44,139.45,138.02,138.88,84480.699
1743062400000,138.88,139.29,138.04,138.36,158841.583
1743066000000,138.36,138.62,137.5,138.22,118884.639
1743069600000,138.23,138.85,137.36,137.69,108050.639
1743073200000,137.7,138.42,137.1,137.4,78728.084
1743076800000,137.4,138.3,136.9,137.54,156369.083
1743080400000,137.53,138.12,135.63,137.08,204869.787
1743084000000,137.08,139.82,137.04,139.77,206566.249
1743087600000,139.78,139.83,137.79,137.79,146058.526
1743091200000,137.79,139.08,137.73,137.98,89040.853
1743094800000,137.99,138.59,137.36,137.53,73288.354
1743098400000,137.53,139.3,137.45,138.89,81631.902
1743102000000,138.9,139.71,138.61,139.06,76997.613
1743105600000,139.07,139.45,138.7,139.12,55677.84
1743109200000,139.12,139.95,138.82,139.63,63800.134
1743112800000,139.63,139.8,138.85,138.88,44297.995
1743116400000,138.87,139.09,138.12,138.43,59432.673
1743120000000,138.44,138.51,136.72,137.86,107383.022
1743123600000,137.86,139.05,137.18,138.32,108197.342
1743127200000,138.32,139.0,137.61,137.83,74143.948
1743130800000,137.83,138.02,135.9,136.78,329351.698
1743134400000,136.79,137.35,133.55,134.28,509177.808
1743138000000,134.27,134.3,133.29,133.39,169473.377
1743141600000,133.38,134.57,133.09,133.21,103750.275
1743145200000,133.21,133.46,131.38,131.62,398251.724
1743148800000,131.63,132.67,131.11,131.28,195772.522
1743152400000,131.28,131.74,130.61,130.85,108760.288
1743156000000,130.86,131.32,130.36,130.85,108152.988
1743159600000,130.85,132.01,130.52,131.93,150651.309
1743163200000,131.92,132.46,130.6,130.78,152635.694
1743166800000,130.79,131.88,129.38,129.93,187931.848
1743170400000,129.93,130.43,129.14,130.09,227700.153
1743174000000,130.09,130.41,129.26,129.92,145679.663
1743177600000,129.92,130.3,129.03,129.41,160647.675
1743181200000,129.4,130.12,129.12,130.09,98034.499
1743184800000,130.08,130.2,129.15,129.6,79684.029
1743188400000,129.6,129.69,129.13,129.43,79261.714
1743192000000,129.43,130.46,127.69,128.35,213042.03
1743195600000,128.35,129.31,127.81,129.05,81645.02
1743199200000,129.05,129.93,129.02,129.84,63046.765
1743202800000,129.84,129.85,129.12,129.49,39815.974
1743206400000,129.5,130.54,129.41,129.78,113366.094
1743210000000,129.79,129.99,129.18,129.49,46955.381
1743213600000,129.49,129.75,127.11,127.12,107525.257
1743217200000,127.12,129.19,126.58,128.84,158318.605
1743220800000,128.83,129.13,127.96,128.65,105427.211
1743224400000,128.65,128.66,127.34,127.79,165972.322
1743228000000,127.79,127.82,126.19,126.96,105288.611
1743231600000,126.95,127.12,125.45,126.39,149985.08
1743235200000,126.39,127.1,126.24,126.89,111294.669
1743238800000,126.89,127.1,125.57,126.69,102122.247
1743242400000,126.69,126.85,125.63,125.89,89496.292
1743246000000,125.88,126.06,124.31,125.3,243058.117
1743249600000,125.3,125.88,125.0,125.51,85425.602
1743253200000,125.5,126.76,125.5,126.76,106904.563
1743256800000,126.76,126.82,125.72,125.91,77540.327
1743260400000,125.91,126.58,125.9,126.32,50915.941
1743264000000,126.32,126.79,125.11,125.29,107466.456
1743267600000,125.29,125.87,123.71,124.51,248684.023
1743271200000,124.51,125.7,124.41,124.92,76027.303
1743274800000,124.93,125.3,124.39,125.3,62803.228
1743278400000,125.3,125.43,123.85,124.03,73063.376
1743282000000,124.03,124.81,123.27,124.45,67356.532
1743285600000,124.45,124.45,122.68,123.38,104337.721
1743289200000,123.39,124.76,123.17,124.58,50730.557
1743292800000,124.58,124.88,123.49,124.71,75422.331
1743296400000,124.71,125.5,124.7,125.31,92786.68
1743300000000,125.31,126.43,125.18,126.24,90409.503
1743303600000,126.24,126.6,125.66,125.71,72653.325
1743307200000,125.7,126.48,125.7,126.25,41212.098
1743310800000,126.25,126.56,125.78,125.95,47007.425
1743314400000,125.94,126.08,125.16,125.88,56340.838
1743318000000,125.88,126.27,125.3,125.48,44040.13
1743321600000,125.48,126.24,125.43,126.14,44408.869
1743325200000,126.15,126.18,125.58,126.07,39781.649
1743328800000,126.07,126.43,124.79,124.99,115044.587
1743332400000,124.98,125.9,124.66,125.12,55718.94
1743336000000,125.12,125.43,124.72,125.06,49794.287
1743339600000,125.07,125.1,123.15,123.44,147825.95
1743343200000,123.44,125.06,123.37,124.71,135491.385
1743346800000,124.72,125.59,124.53,124.92,54104.626
1743350400000,124.92,125.23,123.32,123.7,70244.964
1743354000000,123.7,124.67,123.0,124.52,58672.206
1743357600000,124.52,126.82,124.52,126.22,99143.853
1743361200000,126.23,127.08,125.71,125.85,62532.492
1743364800000,125.84,126.37,125.23,125.35,33526.521
1743368400000,125.36,126.15,124.32,124.77,55765.816
1743372000000,124.76,125.98,123.19,125.09,136737.452
1743375600000,125.08,125.16,123.94,124.82,65109.369
1743379200000,124.83,125.15,122.75,123.81,119358.605
1743382800000,123.82,126.52,123.64,126.22,132015.953
1743386400000,126.22,127.63,125.56,126.59,119493.255
1743390000000,126.58,127.19,124.22,124.56,85887.656
1743393600000,124.57,125.48,124.33,125.0,115996.228
1743397200000,125.0,126.68,124.85,126.03,88502.196
1743400800000,126.04,126.53,125.23,126.25,105904.726
1743404400000,126.25,127.08,125.28,125.88,118369.332
1743408000000,125.89,126.7,125.27,125.39,89684.176
1743411600000,125.39,125.47,123.43,123.92,179902.638
1743415200000,123.92,124.77,123.05,124.57,156695.916
1743418800000,124.58,124.82,123.41,124.28,108589.183
1743422400000,124.27,126.16,123.66,125.91,304711.613
1743426000000,125.92,126.29,123.22,125.49,491358.542
1743429600000,125.49,127.21,125.44,126.72,295377.831
1743433200000,126.72,127.81,126.71,126.78,212166.163
1743436800000,126.77,127.36,125.79,125.98,97517.836
1743440400000,125.98,126.56,123.83,124.09,167769.221
1743444000000,124.1,126.56,124.1,125.68,192097.163
1743447600000,125.67,126.26,125.15,125.25,84841.647
1743451200000,125.25,125.98,125.13,125.39,44628.157
1743454800000,125.38,126.27,125.38,125.74,39795.187
1743458400000,125.74,125.98,124.85,125.54,189953.318
1743462000000,125.53,126.18,124.47,124.54,190012.311
1743465600000,124.53,125.18,124.03,124.51,140352.821
1743469200000,124.5,124.74,123.74,124.5,122144.313
1743472800000,124.5,126.29,124.44,126.24,89191.767
1743476400000,126.25,126.72,125.76,126.06,104838.33
1743480000000,126.07,126.3,125.6,126.19,61377.308
1743483600000,126.18,126.78,125.94,125.98,58548.101
1743487200000,125.99,126.75,125.59,126.56,98782.487
1743490800000,126.56,126.71,126.03,126.69,70578.435
1743494400000,126.69,129.97,126.68,129.38,270383.195
1743498000000,129.37,129.84,128.42,129.27,157974.069
1743501600000,129.27,129.33,127.83,127.91,137647.962
1743505200000,127.91,128.21,127.13,127.61,149622.775
1743508800000,127.6,127.9,126.43,127.17,125797.772
1743512400000,127.18,128.37,126.9,127.59,152129.893
1743516000000,127.59,127.83,124.68,127.05,380766.528
1743519600000,127.05,130.55,126.76,129.27,666792.891
1743523200000,129.27,129.64,128.14,128.25,163899.8
1743526800000,128.24,128.44,127.04,127.29,109415.546
1743530400000,127.29,127.31,125.52,126.49,136051.244
1743534000000,126.49,127.12,126.45,126.82,82315.246
1743537600000,126.82,126.83,125.3,126.43,102923.66
1743541200000,126.43,126.79,126.13,126.33,50098.365
1743544800000,126.33,127.24,125.92,126.77,61241.851
1743548400000,126.77,127.53,126.14,126.67,61403.489
1743552000000,126.68,126.96,126.03,126.22,69975.919
1743555600000,126.22,126.24,125.4,125.69,87965.843
1743559200000,125.7,125.78,124.1,124.76,130357.132
1743562800000,124.76,125.36,124.22,124.32,72077.707
1743566400000,124.32,125.03,124.21,124.89,58368.068
1743570000000,124.9,124.9,123.5,123.75,106911.44
1743573600000,123.75,124.6,123.7,124.04,67695.221
1743577200000,124.04,124.84,123.93,124.55,82913.158
1743580800000,124.54,125.84,124.28,125.45,112879.11
1743584400000,125.45,126.73,125.32,126.04,114013.734
1743588000000,126.04,126.49,125.46,125.73,61322.489
1743591600000,125.74,126.32,125.64,125.69,55705.863
1743595200000,125.7,126.8,125.12,126.6,115372.655
1743598800000,126.61,127.93,125.16,126.22,161787.931
1743602400000,126.21,128.13,126.14,127.71,162794.254
1743606000000,127.71,131.16,127.61,130.43,1019261.558
1743609600000,130.43,131.79,129.77,131.15,347956.192
1743613200000,131.15,131.52,129.27,129.67,301344.595
1743616800000,129.66,130.31,129.17,130.0,94479.493
1743620400000,130.01,131.5,130.01,131.43,86881.916
1743624000000,131.42,136.21,126.79,128.03,1217439.208
1743627600000,128.03,128.28,124.61,125.37,320140.134
1743631200000,125.36,125.36,118.2,118.68,816305.176
1743634800000,118.67,119.54,117.0,117.42,624959.884
1743638400000,117.42,120.16,116.25,119.98,507610.851
1743642000000,119.98,120.41,118.47,119.4,463409.951
1743645600000,119.4,120.84,119.03,120.8,197306.518
1743649200000,120.79,120.94,119.68,119.8,213737.524
1743652800000,119.81,120.86,119.42,120.3,157006.136
1743656400000,120.3,120.63,118.71,118.94,158021.287
1743660000000,118.94,119.31,117.9,118.27,301705.439
1743663600000,118.27,118.95,117.9,118.64,223067.169
1743667200000,118.64,119.22,118.04,118.9,182374.56
1743670800000,118.91,119.08,117.7,117.91,124032.43
1743674400000,117.91,118.38,115.4,115.96,457279.877
1743678000000,115.96,116.57,115.11,115.74,207930.085
1743681600000,115.74,116.04,112.59,113.11,483080.193
1743685200000,113.12,115.56,112.84,114.81,388978.372
1743688800000,114.8,114.87,112.24,112.61,336281.863
1743692400000,112.61,114.47,112.55,114.16,206482.525
1743696000000,114.17,114.82,113.43,113.68,170189.168
1743699600000,113.68,114.8,113.26,114.22,124265.603
1743703200000,114.22,116.0,113.78,115.1,485766.262
1743706800000,115.11,115.77,114.88,115.42,101925.517
1743710400000,115.43,116.56,115.08,116.25,113288.927
1743714000000,116.26,117.4,116.01,117.18,80094.459
1743717600000,117.18,117.37,116.5,117.01,94475.34
1743721200000,117.0,117.45,116.05,117.17,76557.222
1743724800000,117.17,117.5,115.92,116.0,153688.816
1743728400000,116.0,116.38,114.63,114.92,114189.776
1743732000000,114.93,116.44,114.92,115.55,149917.545
1743735600000,115.55,115.76,114.9,115.4,78573.475
1743739200000,115.41,115.45,114.73,115.03,62114.078
1743742800000,115.04,116.61,114.76,116.55,200773.314
1743746400000,116.55,116.91,116.06,116.08,218021.394
1743750000000,116.08,118.35,116.02,118.18,203461.932
1743753600000,118.17,119.15,118.13,118.92,238095.449
1743757200000,118.91,119.94,118.55,119.62,115734.087
1743760800000,119.62,119.76,114.87,115.03,390686.147
1743764400000,115.04,115.5,113.25,114.54,270305.227
1743768000000,114.53,116.48,113.96,115.63,357672.181
1743771600000,115.64,116.69,114.1,116.41,278666.565
1743775200000,116.4,117.82,115.31,117.45,356574.799
1743778800000,117.44,120.99,117.42,118.6,701943.782
1743782400000,118.6,122.87,118.23,121.8,480769.405
1743786000000,121.79,123.98,119.64,123.11,552106.065
1743789600000,123.1,123.24,121.42,121.75,227264.341
1743793200000,121.75,123.04,121.37,122.61,140459.41
1743796800000,122.61,123.89,121.78,123.39,160954.541
1743800400000,123.4,124.0,122.9,123.12,114070.889
1743804000000,123.13,123.87,122.84,123.33,65781.561
1743807600000,123.32,123.39,122.06,122.79,89247.541
1743811200000,122.8,122.85,121.84,122.24,81413.5
1743814800000,122.24,122.83,121.65,121.84,63379.503
1743818400000,121.85,121.99,120.71,121.02,130330.884
1743822000000,121.02,121.27,120.66,120.73,52721.472
1743825600000,120.72,121.32,120.37,120.63,68119.068
1743829200000,120.63,121.07,120.38,120.67,41982.777
1743832800000,120.67,121.12,120.18,120.66,57218.04
1743836400000,120.65,121.25,120.19,121.07,48316.622
1743840000000,121.07,121.46,120.69,121.17,54967.315
1743843600000,121.17,121.96,121.15,121.83,53688.684
1743847200000,121.84,121.94,120.76,120.91,54947.624
1743850800000,120.91,121.06,119.86,120.28,105476.664
1743854400000,120.29,120.33,118.84,119.17,98852.112
1743858000000,119.17,119.3,117.54,117.86,120992.461
1743861600000,117.85,118.45,117.2,118.12,163426.122
1743865200000,118.12,118.14,117.15,117.55,84248.204
1743868800000,117.55,118.24,117.52,117.84,68187.35
1743872400000,117.84,118.52,117.63,117.95,57493.889
1743876000000,117.95,119.02,117.85,118.96,39218.081
1743879600000,118.96,119.35,118.39,118.63,69442.773
1743883200000,118.63,119.39,118.41,119.27,69999.954
1743886800000,119.27,119.46,118.7,118.94,69486.179
1743890400000,118.93,119.58,118.86,119.24,46840.341
1743894000000,119.24,120.56,119.18,120.32,83631.681
1743897600000,120.33,120.62,119.79,120.36,64675.607
1743901200000,120.37,121.13,120.11,120.45,48209.844
1743904800000,120.45,120.85,119.77,120.05,47622.359
1743908400000,120.05,120.38,119.43,119.98,56722.944
1743912000000,119.99,120.09,119.43,119.83,53368.844
1743915600000,119.84,120.47,119.65,120.29,42328.212
1743919200000,120.3,120.6,119.32,119.37,46254.451
1743922800000,119.38,119.52,118.82,119.21,72019.345
1743926400000,119.2,119.64,118.5,119.54,68456.177
1743930000000,119.55,120.18,119.27,119.74,52783.773
1743933600000,119.73,119.75,118.7,119.17,42244.664
1743937200000,119.17,119.17,118.18,118.62,50580.594
1743940800000,118.61,118.86,116.2,116.46,118925.036
1743944400000,116.45,116.45,114.31,114.7,284976.212
1743948000000,114.69,115.79,114.3,115.68,246068.631
1743951600000,115.67,115.88,114.82,114.97,105255.751
1743955200000,114.96,115.26,113.71,114.04,181257.33
1743958800000,114.03,114.38,110.58,111.43,470084.441
1743962400000,111.43,111.47,107.25,107.69,852446.144
1743966000000,107.69,108.6,106.28,108.07,488409.93
1743969600000,108.08,108.55,105.52,106.53,424694.85
1743973200000,106.54,107.8,106.26,106.94,202705.47
1743976800000,106.94,108.29,105.77,105.99,408635.021
1743980400000,105.98,106.53,103.81,105.91,505621.355
1743984000000,105.9,106.26,103.28,104.79,432297.213
1743987600000,104.8,107.82,104.8,107.45,369040.758
1743991200000,107.45,107.64,105.38,105.94,249579.025
1743994800000,105.93,106.14,102.22,103.27,413988.205
1743998400000,103.27,103.77,101.64,102.59,402509.388
1744002000000,102.6,103.12,101.12,101.94,308244.753
1744005600000,101.93,102.69,95.26,97.18,1315050.901
1744009200000,97.17,98.88,97.08,97.14,654957.454
1744012800000,97.14,101.6,96.93,100.49,699861.653
1744016400000,100.48,101.78,99.08,100.35,368723.864
1744020000000,100.34,102.64,100.28,100.34,418861.135
1744023600000,100.35,101.16,99.14,100.29,276299.592
1744027200000,100.3,103.19,99.74,102.96,488987.982
1744030800000,102.96,107.22,100.73,106.6,1043331.742
1744034400000,106.59,113.0,104.55,107.5,2509357.516
1744038000000,107.49,108.0,103.71,106.65,854666.873
1744041600000,106.65,106.77,103.56,103.85,363710.079
1744045200000,103.86,107.98,103.84,107.6,387410.57
1744048800000,107.61,107.68,105.85,105.96,299365.001
1744052400000,105.96,106.98,105.24,105.75,203962.016
1744056000000,105.75,107.98,105.74,107.38,118676.997
1744059600000,107.38,108.67,106.59,107.94,128784.477
1744063200000,107.94,109.3,107.6,108.6,158442.951
1744066800000,108.6,108.72,106.69,106.99,164554.848
1744070400000,106.98,107.75,106.65,107.04,148039.346
